first second position
Capana01g000205 Solyc08g081290.2.1 2978596.5
Capana01g000206 Solyc08g081280.2.1 2993958.5
Capana01g000207 Solyc08g081270.2.1 3027564
Capana01g000209 Solyc08g081260.1.1 3042149.5
Capana01g000210 Solyc08g081260.1.1 3043643
Capana01g000211 Solyc08g080840.1.1 3076499.5
Capana01g000214 Solyc08g080850.2.1 3131307
Capana01g000215 Solyc08g080860.2.1 3136413
Capana01g000216 Solyc08g080930.1.1 3149273
Capana01g000217 Solyc08g080920.2.1 3153627
Capana01g000218 Solyc08g080900.2.1 3163470
Capana01g000219 Solyc08g080910.2.1 3171698
Capana01g000220 Solyc08g061910.2.1 3177286.5
Capana01g000221 Solyc08g080900.2.1 3203181.5
Capana01g000222 Solyc08g080890.2.1 3208139.5
Capana01g000223 Solyc08g080870.2.1 3224507
Capana01g000224 Solyc08g081020.1.1 3231479
Capana01g000225 Solyc08g080940.2.1 3239150
Capana01g000226 Solyc01g094450.1.1 3243283
Capana01g000227 Solyc08g080960.2.1 3247567
Capana01g000230 Solyc01g010880.2.1 3300825
Capana01g000231 Solyc08g080980.2.1 3303965.5
Capana01g000232 Solyc08g080990.2.1 3310466
Capana01g000233 Solyc08g080990.2.1 3320201.5
Capana01g000234 Solyc08g080990.2.1 3477083.5
Capana01g000235 Solyc08g080990.2.1 3550659.5
Capana01g000236 Solyc08g080990.2.1 3577190.5
Capana01g000237 Solyc08g080990.2.1 3617200
Capana01g000238 Solyc08g081000.2.1 3687953.5
Capana01g000239 Solyc08g081010.2.1 3716057
Capana01g000240 Solyc08g081030.1.1 3959229.5
Capana01g000241 Solyc10g084080.1.1 3961750
Capana01g000242 Solyc08g081030.1.1 3971260
Capana01g000243 Solyc08g081250.2.1 4152030.5
Capana01g000244 Solyc02g085840.2.1 4183591
Capana01g000246 Solyc08g081240.2.1 4221092.5
Capana01g000247 Solyc08g081230.1.1 4226841.5
Capana01g000248 Solyc08g081220.1.1 4242830.5
Capana01g000249 Solyc08g081200.2.1 4247714
Capana01g000250 Solyc08g081190.2.1 4274158.5
Capana01g000251 Solyc08g081180.2.1 4293503
Capana01g000252 Solyc08g081160.2.1 4310957.5
Capana01g000253 Solyc08g081150.2.1 4315493
Capana01g000254 Solyc08g081150.2.1 4316965.5
Capana01g000255 Solyc08g081150.2.1 4318742.5
Capana01g000256 Solyc08g081140.2.1 4323498.5
Capana01g000257 Solyc08g081130.2.1 4331848
Capana01g000258 Solyc08g081120.2.1 4364580.5
Capana01g000259 Solyc08g081090.1.1 4388469
Capana01g000260 Solyc08g081080.2.1 4398205.5
Capana01g000262 Solyc08g081070.2.1 4407312.5
Capana01g000263 Solyc08g081070.2.1 4411267.5
Capana01g000264 Solyc08g081060.2.1 4416111.5
Capana01g000265 Solyc08g080790.1.1 4551238.5
Capana01g000266 Solyc07g056610.1.1 4573860
Capana01g000268 Solyc08g080780.2.1 4725931
Capana01g000269 Solyc08g080760.1.1 4730793.5
Capana01g000270 Solyc08g080760.1.1 4743640
Capana01g000273 Solyc08g080540.2.1 4814145
Capana01g000274 Solyc08g080550.1.1 4826949
Capana01g000275 Solyc08g080560.1.1 4829161
Capana01g000276 Solyc08g080570.2.1 4832593
Capana01g000277 Solyc08g080580.2.1 4847491
Capana01g000278 Solyc08g080590.2.1 4871093.5
Capana01g000279 Solyc08g080590.2.1 4887803
Capana01g000280 Solyc08g080660.1.1 4894476
Capana01g000281 Solyc12g056380.1.1 4897153.5
Capana01g000282 Solyc08g080630.2.1 4918653
Capana01g000283 Solyc08g080640.1.1 4921719.5
Capana01g000284 Solyc08g080650.1.1 4943739
Capana01g000285 Solyc08g080670.1.1 4946684
Capana01g000287 Solyc08g066320.2.1 4958319.5
Capana01g000288 Solyc08g080670.1.1 4979319.5
Capana01g000289 Solyc08g080680.2.1 4997462.5
Capana01g000290 Solyc08g080690.2.1 5009873.5
Capana01g000291 Solyc08g080710.1.1 5198496.5
Capana01g000293 Solyc08g080720.2.1 5264558
Capana01g000294 Solyc08g080730.2.1 5572398.5
Capana01g000295 Solyc01g094370.2.1 5585330
Capana01g000297 Solyc07g056610.1.1 5608669.5
Capana01g000298 Solyc08g080800.1.1 5678638
Capana01g000299 Solyc08g080810.1.1 5721048
Capana01g000300 Solyc07g056690.1.1 5744445.5
Capana01g000301 Solyc08g080750.2.1 5797185.5
Capana01g000302 Solyc08g080490.2.1 5829626
Capana01g000303 Solyc08g080500.2.1 5835818
Capana01g000304 Solyc08g080510.2.1 5846764.5
Capana01g000306 Solyc10g055700.1.1 5880520
Capana01g000307 Solyc08g080520.2.1 5882755
Capana01g000308 Solyc08g080520.2.1 5895475
Capana01g000309 Solyc08g080490.2.1 5942097.5
Capana01g000310 Solyc08g080480.2.1 5949788
Capana01g000311 Solyc08g080470.2.1 5956130
Capana01g000312 Solyc08g080460.1.1 5977135.5
Capana01g000313 Solyc08g080460.1.1 5981921
Capana01g000314 Solyc08g080440.1.1 6018935
Capana01g000315 Solyc08g080430.1.1 6028526
Capana01g000316 Solyc08g080420.2.1 6061191
Capana01g000317 Solyc08g080410.2.1 6074594
Capana01g000318 Solyc08g080400.1.1 6084262
Capana01g000319 Solyc08g080380.2.1 6090815.5
Capana01g000321 Solyc08g080380.2.1 6097289
Capana01g000322 Solyc08g080380.2.1 6103233.5
Capana01g000323 Solyc08g080370.2.1 6108859.5
Capana01g000324 Solyc08g080360.2.1 6130829
Capana01g000325 Solyc08g080340.2.1 6142763.5
Capana01g000326 Solyc08g080320.2.1 6160155
Capana01g000327 Solyc08g080310.1.1 6173076.5
Capana01g000328 Solyc08g080300.1.1 6181173
Capana01g000329 Solyc05g044490.2.1 6245786.5
Capana01g000330 Solyc07g021760.1.1 6262801.5
Capana01g000331 Solyc08g080290.2.1 6286940.5
Capana01g000332 Solyc08g080280.2.1 6309923.5
Capana01g000333 Solyc08g080270.2.1 6321750
Capana01g000334 Solyc03g063960.1.1 6328398.5
Capana01g000335 Solyc08g080260.2.1 6337364
Capana01g000336 Solyc08g080250.2.1 6343463
Capana01g000337 Solyc08g080240.2.1 6352048
Capana01g000339 Solyc04g078170.1.1 6360248.5
Capana01g000340 Solyc08g080210.2.1 6391173
Capana01g000341 Solyc08g080210.2.1 6400199.5
Capana01g000343 Solyc08g080210.2.1 6417809
Capana01g000344 Solyc08g080210.2.1 6427215.5
Capana01g000345 Solyc08g080210.2.1 6440549.5
Capana01g000346 Solyc08g080210.2.1 6447811
Capana01g000348 Solyc08g080200.2.1 6470696
Capana01g000349 Solyc08g080190.2.1 6480779.5
Capana01g000350 Solyc08g080180.1.1 6490072
Capana01g000351 Solyc08g080170.2.1 6502469
Capana01g000352 Solyc08g080170.2.1 6515473
Capana01g000353 Solyc08g080150.1.1 6523958.5
Capana01g000354 Solyc08g080140.2.1 6533024
Capana01g000355 Solyc08g080130.2.1 6546913.5
Capana01g000356 Solyc08g080120.2.1 6560178
Capana01g000357 Solyc08g080110.2.1 6576729
Capana01g000359 Solyc08g080090.2.1 6681024
Capana01g000360 Solyc01g090830.2.1 6682975
Capana01g000361 Solyc08g080080.2.1 6686820
Capana01g000362 Solyc08g080070.1.1 6713930
Capana01g000363 Solyc08g080060.2.1 6720266
Capana01g000364 Solyc08g080050.2.1 6726080.5
Capana01g000365 Solyc08g080040.2.1 6732654
Capana01g000366 Solyc08g080030.2.1 6735023.5
Capana01g000367 Solyc08g079420.2.1 6768007
Capana01g000368 Solyc08g079420.2.1 6769100
Capana01g000369 Solyc01g034220.1.1 6801328.5
Capana01g000370 Solyc08g048420.2.1 6803304
Capana01g000372 Solyc11g065650.1.1 6824009.5
Capana01g000373 Solyc08g079420.2.1 6844562.5
Capana01g000374 Solyc08g079420.2.1 6846968
Capana01g000375 Solyc08g079430.2.1 6853616.5
Capana01g000376 Solyc08g079860.1.1 6900331
Capana01g000377 Solyc08g079440.1.1 6925871
Capana01g000378 Solyc03g111700.2.1 6929486.5
Capana01g000379 Solyc09g008620.1.1 6931599
Capana01g000380 Solyc10g085750.1.1 6933467.5
Capana01g000381 Solyc08g079450.2.1 6942047
Capana01g000382 Solyc01g095160.2.1 7005794
Capana01g000383 Solyc08g079470.2.1 7011138.5
Capana01g000384 Solyc08g079480.2.1 7036627
Capana01g000385 Solyc08g079490.2.1 7046784
Capana01g000386 Solyc08g079500.2.1 7051476.5
Capana01g000387 Solyc08g079510.2.1 7072458
Capana01g000388 Solyc00g042840.1.1 7077046
Capana01g000389 Solyc09g064710.1.1 7103873.5
Capana01g000390 Solyc08g014270.1.1 7130300
Capana01g000391 Solyc08g079520.2.1 7149143
Capana01g000392 Solyc08g079520.2.1 7159697
Capana01g000393 Solyc06g068630.2.1 7170777
Capana01g000394 Solyc08g079520.2.1 7191026.5
Capana01g000395 Solyc08g082520.1.1 7208305
Capana01g000397 Solyc08g079530.2.1 7224108.5
Capana01g000398 Solyc02g091740.2.1 7279486
Capana01g000399 Solyc08g079570.2.1 7283858
Capana01g000400 Solyc08g079580.1.1 7334578.5
Capana01g000401 Solyc04g082360.1.1 7358048
Capana01g000402 Solyc11g009030.1.1 7359720.5
Capana01g000403 Solyc08g079590.1.1 7366395
Capana01g000404 Solyc11g013200.1.1 7367388.5
Capana01g000405 Solyc08g079590.1.1 7369223
Capana01g000406 Solyc06g054090.1.1 7393443.5
Capana01g000408 Solyc08g079600.2.1 7419144
Capana01g000410 Solyc08g079620.2.1 7434716.5
Capana01g000411 Solyc08g079630.2.1 7440700.5
Capana01g000412 Solyc12g038350.1.1 7469289
Capana01g000413 Solyc08g079650.2.1 7492396.5
Capana01g000414 Solyc08g079660.2.1 7521401
Capana01g000415 Solyc08g079670.2.1 7529180
Capana01g000416 Solyc07g018010.2.1 7559162.5
Capana01g000417 Solyc07g015890.1.1 7565436.5
Capana01g000418 Solyc07g018010.2.1 7580651.5
Capana01g000419 Solyc08g079680.2.1 7590598.5
Capana01g000421 Solyc03g093260.2.1 7607886.5
Capana01g000422 Solyc12g038350.1.1 7609118.5
Capana01g000423 Solyc08g079700.1.1 7664249.5
Capana01g000424 Solyc10g051010.1.1 7668737
Capana01g000425 Solyc08g079710.2.1 7670860
Capana01g000426 Solyc08g079710.2.1 7690665
Capana01g000427 Solyc08g079720.2.1 7707569.5
Capana01g000428 Solyc08g079730.1.1 7760462.5
Capana01g000432 Solyc08g081000.2.1 7839289.5
Capana01g000433 Solyc08g080010.1.1 7845364.5
Capana01g000434 Solyc08g080010.1.1 7846971.5
Capana01g000435 Solyc12g044400.1.1 7855117
Capana01g000437 Solyc12g044400.1.1 7859687.5
Capana01g000438 Solyc12g044400.1.1 7861915.5
Capana01g000439 Solyc12g044400.1.1 7862805
Capana01g000440 Solyc09g005250.2.1 7897974.5
Capana01g000441 Solyc07g018010.2.1 7927363.5
Capana01g000442 Solyc08g081000.2.1 7951009.5
Capana01g000443 Solyc08g080010.1.1 7964861.5
Capana01g000444 Solyc09g005250.2.1 7984195
Capana01g000445 Solyc12g044400.1.1 7990048
Capana01g000446 Solyc12g044400.1.1 7993550.5
Capana01g000447 Solyc12g005970.1.1 8013746
Capana01g000448 Solyc11g069020.1.1 8014433.5
Capana01g000449 Solyc12g005970.1.1 8015386.5
Capana01g000450 Solyc08g079740.2.1 8065858
Capana01g000451 Solyc08g079750.2.1 8070099.5
Capana01g000452 Solyc08g079760.2.1 8096145
Capana01g000453 Solyc08g079770.2.1 8101839
Capana01g000454 Solyc08g079780.1.1 8106221
Capana01g000455 Solyc08g079790.1.1 8113822
Capana01g000456 Solyc08g079800.2.1 8117003
Capana01g000457 Solyc08g079810.2.1 8122895
Capana01g000458 Solyc08g079810.2.1 8124468.5
Capana01g000459 Solyc08g079820.2.1 8131946.5
Capana01g000460 Solyc08g079830.2.1 8136781
Capana01g000461 Solyc08g079840.1.1 8142274
Capana01g000462 Solyc08g079840.1.1 8145931.5
Capana01g000463 Solyc08g079850.1.1 8151642.5
Capana01g000464 Solyc08g079850.1.1 8155313.5
Capana01g000465 Solyc08g079910.1.1 8156708
Capana01g000466 Solyc08g079860.1.1 8172972
Capana01g000467 Solyc08g079860.1.1 8227605.5
Capana01g000468 Solyc08g079860.1.1 8242025.5
Capana01g000469 Solyc08g079860.1.1 8283961
Capana01g000470 Solyc08g079860.1.1 8284524
Capana01g000471 Solyc08g079910.1.1 8285319.5
Capana01g000473 Solyc08g079970.1.1 8346272.5
Capana01g000474 Solyc08g079980.1.1 8347929
Capana01g000475 Solyc08g079970.1.1 8353121
Capana01g000476 Solyc08g079980.1.1 8356854
Capana01g000477 Solyc08g079990.1.1 8360975.5
Capana01g000478 Solyc04g049660.1.1 8362484
Capana01g000479 Solyc08g080000.2.1 8369483
Capana01g000485 Solyc08g079420.2.1 8464434.5
Capana01g000486 Solyc08g079420.2.1 8465533.5
Capana01g000487 Solyc08g079300.2.1 8470778
Capana01g000488 Solyc08g079300.2.1 8479825.5
Capana01g000489 Solyc08g079280.2.1 8483789.5
Capana01g000490 Solyc08g079300.2.1 8488396.5
Capana01g000491 Solyc08g079280.2.1 8494194
Capana01g000492 Solyc08g079280.2.1 8498673
Capana01g000493 Solyc00g084760.1.1 8509169
Capana01g000494 Solyc08g083410.1.1 8511293
Capana01g000495 Solyc08g079270.2.1 8533252
Capana01g000496 Solyc08g079260.2.1 8567655
Capana01g000497 Solyc08g079250.2.1 8581936.5
Capana01g000498 Solyc08g079240.2.1 8624089.5
Capana01g000499 Solyc08g007450.1.1 8630969.5
Capana01g000500 Solyc08g079190.1.1 8652324.5
Capana01g000501 Solyc08g079190.1.1 8679329
Capana01g000502 Solyc08g078870.1.1 8709196
Capana01g000503 Solyc08g078870.1.1 8809238
Capana01g000504 Solyc01g110100.2.1 8814820.5
Capana01g000505 Solyc08g079180.2.1 8826076
Capana01g000506 Solyc05g016380.2.1 8835661
Capana01g000508 Solyc05g016380.2.1 8866287.5
Capana01g000509 Solyc08g079170.2.1 8873715.5
Capana01g000510 Solyc08g079160.2.1 8891619
Capana01g000511 Solyc08g079150.1.1 8898434
Capana01g000512 Solyc09g010460.2.1 8913451
Capana01g000513 Solyc08g079150.1.1 8923822
Capana01g000514 Solyc12g070180.1.1 8937115.5
Capana01g000515 Solyc08g079120.1.1 8977599
Capana01g000516 Solyc08g079110.2.1 9000640
Capana01g000518 Solyc08g079100.2.1 9022217
Capana01g000520 Solyc12g040440.1.1 9083467.5
Capana01g000521 Solyc08g079090.2.1 9109776
Capana01g000522 Solyc08g079080.2.1 9153412.5
Capana01g000523 Solyc08g079070.2.1 9162284
Capana01g000524 Solyc08g079060.2.1 9168099.5
Capana01g000525 Solyc08g079050.1.1 9191632
Capana01g000526 Solyc08g079040.1.1 9197131.5
Capana01g000527 Solyc08g079040.1.1 9199417.5
Capana01g000528 Solyc08g079030.2.1 9214465
Capana01g000529 Solyc11g011230.1.1 9235478.5
Capana01g000530 Solyc05g009470.2.1 9354002.5
Capana01g000531 Solyc11g042880.1.1 9385026
Capana01g000533 Solyc09g011340.2.1 9421098
Capana01g000534 Solyc05g009500.2.1 9429469
Capana01g000535 Solyc08g079020.2.1 9521494
Capana01g000536 Solyc08g079010.1.1 9528682
Capana01g000538 Solyc08g078990.1.1 9562507
Capana01g000540 Solyc08g078960.2.1 9613260
Capana01g000541 Solyc08g078950.2.1 9638047
Capana01g000542 Solyc08g078940.1.1 9688117.5
Capana01g000543 Solyc08g078930.1.1 9696660.5
Capana01g000544 Solyc08g078870.1.1 9753895
Capana01g000545 Solyc08g078910.1.1 9761091.5
Capana01g000546 Solyc05g005680.2.1 9763900.5
Capana01g000547 Solyc08g078900.1.1 9802947
Capana01g000548 Solyc08g078890.1.1 9808372
Capana01g000549 Solyc08g078880.2.1 9813245.5
Capana01g000550 Solyc08g078870.1.1 9819767.5
Capana01g000551 Solyc08g078860.2.1 9844612
Capana01g000552 Solyc08g078850.2.1 9884424.5
Capana01g000553 Solyc02g083350.2.1 9888443.5
Capana01g000554 Solyc02g083350.2.1 9889155
Capana01g000557 Solyc06g050570.1.1 9897441.5
Capana01g000558 Solyc08g078840.2.1 9905861.5
Capana01g000559 Solyc08g078820.2.1 9927048
Capana01g000561 Solyc08g078800.1.1 9973847.5
Capana01g000562 Solyc08g078780.2.1 9993212.5
Capana01g000563 Solyc08g078770.1.1 9998448
Capana01g000564 Solyc03g005550.2.1 10003451.5
Capana01g000565 Solyc08g078760.1.1 10006157.5
Capana01g000567 Solyc08g078760.1.1 10012159
Capana01g000568 Solyc08g078750.2.1 10028736
Capana01g000570 Solyc08g078730.2.1 10283307
Capana01g000571 Solyc08g078720.2.1 10286268
Capana01g000572 Solyc08g078710.1.1 10298376.5
Capana01g000574 Solyc08g078700.2.1 10850473
Capana01g000575 Solyc08g078700.2.1 10871137.5
Capana01g000576 Solyc08g078680.2.1 10915049.5
Capana01g000577 Solyc08g078670.2.1 10930620
Capana01g000579 Solyc08g078660.2.1 10983238.5
Capana01g000580 Solyc06g008150.2.1 11015169.5
Capana01g000581 Solyc08g078650.2.1 11036729.5
Capana01g000582 Solyc08g078640.1.1 11048843.5
Capana01g000584 Solyc02g077460.1.1 11112488
Capana01g000585 Solyc08g078360.1.1 11223141
Capana01g000586 Solyc08g078370.2.1 11233599.5
Capana01g000587 Solyc08g078380.2.1 11248560.5
Capana01g000588 Solyc08g078390.2.1 11258956
Capana01g000589 Solyc08g078420.1.1 11271617.5
Capana01g000591 Solyc08g078420.1.1 11334830
Capana01g000593 Solyc08g078430.2.1 11352206.5
Capana01g000594 Solyc08g078430.2.1 11352652
Capana01g000595 Solyc08g078440.2.1 11394131.5
Capana01g000596 Solyc08g078450.2.1 11400521
Capana01g000599 Solyc08g078430.2.1 11478095.5
Capana01g000600 Solyc08g078450.2.1 11494896
Capana01g000601 Solyc08g078450.2.1 11496266.5
Capana01g000602 Solyc08g078460.2.1 11509750.5
Capana01g000603 Solyc08g078470.2.1 11515332.5
Capana01g000605 Solyc05g050570.2.1 11524975
Capana01g000606 Solyc08g078490.2.1 11563581
Capana01g000607 Solyc08g078500.2.1 11569851.5
Capana01g000608 Solyc06g060760.2.1 11579490.5
Capana01g000609 Solyc07g042190.2.1 11596548.5
Capana01g000610 Solyc08g078510.2.1 11607788
Capana01g000611 Solyc08g078520.2.1 11622648.5
Capana01g000612 Solyc08g078530.2.1 11647374
Capana01g000613 Solyc08g078540.2.1 11660570.5
Capana01g000614 Solyc08g078550.1.1 11689584
Capana01g000615 Solyc08g078560.2.1 11697648
Capana01g000616 Solyc08g078570.1.1 11703151
Capana01g000617 Solyc08g078580.1.1 11725123.5
Capana01g000618 Solyc08g016480.1.1 11739077
Capana01g000619 Solyc04g005460.1.1 11744765.5
