gene position
Solyc08g007330.2.1 1899746
Solyc08g007340.2.1 1913339.5
Solyc08g007350.1.1 1918058.5
Solyc08g007360.2.1 1923577
Solyc08g007370.2.1 1937813.5
Solyc08g007380.2.1 1963993.5
Solyc08g007390.2.1 1968152
Solyc08g007400.2.1 1973158.5
Solyc08g007410.2.1 1976081.5
Solyc08g007420.2.1 1981437
Solyc08g007430.1.1 1995580.5
Solyc08g007440.1.1 2005953.5
Solyc08g007450.1.1 2026187
Solyc08g007460.2.1 2033096
Solyc08g007470.1.1 2040613.5
Solyc08g007480.1.1 2046757.5
Solyc08g007490.2.1 2051641.5
Solyc08g007500.2.1 2058488
Solyc08g007510.2.1 2063570.5
Solyc08g007520.2.1 2067886
Solyc08g007530.2.1 2075041
Solyc08g007540.2.1 2089751.5
Solyc08g007550.1.1 2096355
Solyc08g007560.1.1 2106803
Solyc08g007570.2.1 2122860
Solyc08g007580.2.1 2127138.5
Solyc08g007590.2.1 2133282
Solyc08g007600.1.1 2144865.5
Solyc08g007610.1.1 2150624.5
Solyc08g007620.1.1 2154914
Solyc08g007630.1.1 2162618
Solyc08g007640.1.1 2164698
Solyc08g007650.1.1 2167072
Solyc08g007660.2.1 2168207
Solyc08g007670.1.1 2171023
Solyc08g007680.1.1 2177815.5
Solyc08g007690.1.1 2184646
Solyc08g007700.1.1 2188761.5
Solyc08g007710.2.1 2193869.5
Solyc08g007720.1.1 2197923.5
Solyc08g007730.2.1 2234251.5
Solyc08g007740.1.1 2248697
Solyc08g007750.2.1 2261370.5
Solyc08g007760.2.1 2277128.5
Solyc08g007770.2.1 2288719.5
Solyc08g007780.2.1 2293073.5
Solyc08g007790.2.1 2296637.5
Solyc08g007800.2.1 2314361.5
Solyc08g007810.2.1 2325209
Solyc08g007820.1.1 2327168
Solyc08g007830.1.1 2339353.5
Solyc08g007840.1.1 2351237
Solyc08g007850.1.1 2365186.5
Solyc08g007860.2.1 2379852
Solyc08g007890.2.1 2396273
Solyc08g007900.1.1 2405931.5
Solyc08g007910.2.1 2416746.5
Solyc08g007920.1.1 2426580.5
Solyc08g007930.1.1 2437395.5
Solyc08g007940.2.1 2445089
Solyc08g007950.2.1 2452676.5
Solyc08g007960.1.1 2459263
Solyc08g007970.2.1 2475048
Solyc08g007980.2.1 2480952
Solyc08g007990.2.1 2488854
Solyc08g008000.1.1 2495940
Solyc08g008010.2.1 2506065.5
Solyc08g008020.1.1 2520082
Solyc08g008030.2.1 2525390.5
Solyc08g008040.2.1 2536206
Solyc08g008050.2.1 2542887
Solyc08g008060.1.1 2547265
Solyc08g008070.1.1 2551359
Solyc08g008080.1.1 2554268
Solyc08g008100.2.1 2581475.5
Solyc08g008110.2.1 2583099.5
Solyc08g008120.2.1 2590494.5
Solyc08g008130.2.1 2603237.5
Solyc08g008140.2.1 2614962.5
Solyc08g008150.1.1 2624189
Solyc08g008160.2.1 2631374.5
Solyc08g008170.2.1 2640180
Solyc08g008180.1.1 2646176.5
Solyc08g008190.2.1 2655794
Solyc08g008200.1.1 2659675.5
Solyc08g008210.2.1 2664801.5
Solyc08g008220.2.1 2670672
Solyc08g008230.2.1 2673710
Solyc08g008240.2.1 2678756.5
Solyc08g008250.1.1 2689461
Solyc08g008260.2.1 2694064
Solyc08g008270.2.1 2700107.5
Solyc08g008280.2.1 2705587
Solyc08g008290.2.1 2719002
Solyc08g008300.1.1 2723191.5
Solyc08g008310.2.1 2739591
Solyc08g008320.2.1 2751901
Solyc08g008330.2.1 2763477.5
Solyc08g008340.2.1 2768179.5
Solyc08g008350.2.1 2777431
Solyc08g008360.2.1 2784884.5
Solyc08g008370.2.1 2796384
Solyc08g008380.2.1 2810592.5
Solyc08g008390.1.1 2816106
Solyc08g008400.1.1 2818560
Solyc08g008410.2.1 2832261.5
Solyc08g008420.2.1 2840513.5
Solyc08g008430.2.1 2842894.5
Solyc08g008440.1.1 2844426.5
Solyc08g008450.1.1 2846417
Solyc08g008460.2.1 2849892.5
Solyc08g008470.1.1 2859296
Solyc08g008480.2.1 2872727.5
Solyc08g008490.2.1 2878760
Solyc08g008500.2.1 2895513
Solyc08g008510.2.1 2913391
Solyc08g008520.2.1 2921477
Solyc08g008530.1.1 2926698.5
Solyc08g008540.1.1 2931541.5
Solyc08g008550.2.1 2937732
Solyc08g008560.1.1 2946462.5
Solyc08g008570.1.1 2950589.5
Solyc08g008580.2.1 2957438
Solyc08g008590.2.1 2964552
Solyc08g008600.2.1 2999756.5
Solyc08g008610.2.1 3005712
Solyc08g008620.2.1 3014996
Solyc08g008630.2.1 3022169.5
Solyc08g008640.2.1 3023871.5
Solyc08g008650.1.1 3024301.5
Solyc08g008660.2.1 3026151.5
Solyc08g008670.2.1 3036262.5
Solyc08g013670.2.1 3147498
Solyc08g013680.2.1 3150612
Solyc08g013690.1.1 3160455
Solyc08g013700.1.1 3168820
Solyc08g013710.2.1 3179163.5
Solyc08g013720.2.1 3188192.5
Solyc08g013730.2.1 3194186.5
Solyc08g013740.2.1 3206904
Solyc08g013750.2.1 3216263
Solyc08g013760.1.1 3236813
Solyc08g013770.2.1 3237369.5
Solyc08g013780.1.1 3239161.5
Solyc08g013790.1.1 3241221.5
Solyc08g013800.2.1 3243811
Solyc08g013810.1.1 3259421
Solyc08g013820.2.1 3272461.5
Solyc08g013830.1.1 3277667
Solyc08g013840.2.1 3281867.5
Solyc08g013850.1.1 3290314.5
Solyc08g013860.2.1 3310350
Solyc08g013880.2.1 3352849.5
Solyc08g013890.2.1 3357030
Solyc08g013900.2.1 3363827.5
Solyc08g013910.2.1 3393454.5
Solyc08g013920.2.1 3398479.5
Solyc08g013930.2.1 3404122
Solyc08g013940.2.1 3426609
Solyc08g013950.1.1 3451204.5
Solyc08g013960.1.1 3467550.5
Solyc08g013970.1.1 3471847
Solyc08g013980.2.1 3495968.5
Solyc08g013990.2.1 3503335.5
Solyc08g014000.2.1 3519403
Solyc08g014010.2.1 3610952
Solyc08g014020.2.1 3616852
Solyc08g014030.1.1 3631878
Solyc08g014040.2.1 3653609
Solyc08g014050.1.1 3663181
Solyc08g014060.2.1 3671790.5
Solyc08g014070.1.1 3691180.5
Solyc08g014080.2.1 3722984.5
Solyc08g014090.1.1 3728732
Solyc08g014100.1.1 3731973
Solyc08g014110.1.1 3751066
Solyc08g014120.2.1 3781141
Solyc08g014130.2.1 3839667
Solyc08g014140.1.1 3844854
Solyc08g014150.2.1 3856667.5
Solyc08g014160.2.1 3866506
Solyc08g014170.1.1 3876925
Solyc08g014180.1.1 3880115.5
Solyc08g014190.2.1 3901507.5
Solyc08g014200.1.1 3907422.5
Solyc08g014210.1.1 3907928.5
Solyc08g014220.1.1 3909528.5
Solyc08g014230.2.1 3950231
Solyc08g014240.2.1 3975191
Solyc08g014250.1.1 4005269.5
Solyc08g014260.1.1 4006646.5
Solyc08g014270.1.1 4030996.5
Solyc08g014280.2.1 4068224
Solyc08g014290.1.1 4077637.5
Solyc08g014300.2.1 4102315
Solyc08g014310.2.1 4127557.5
Solyc08g014320.1.1 4144475.5
Solyc08g014330.2.1 4158685
Solyc08g014340.2.1 4167482.5
Solyc08g014350.1.1 4186213.5
Solyc08g014360.1.1 4220866
Solyc08g014370.1.1 4294449.5
Solyc08g014380.1.1 4297052.5
Solyc08g014390.1.1 4394605.5
Solyc08g014420.2.1 4465764.5
Solyc08g014430.2.1 4483508
Solyc08g014440.2.1 4487341.5
Solyc08g014450.2.1 4511662
Solyc08g014460.1.1 4524579.5
Solyc08g014470.2.1 4538795.5
Solyc08g014480.2.1 4596379.5
Solyc08g014490.1.1 4621536
Solyc08g014500.1.1 4626331.5
Solyc08g014510.2.1 4646583.5
Solyc08g014530.1.1 4664654
Solyc08g014540.1.1 4713698
Solyc08g014550.2.1 4743652
Solyc08g014560.1.1 4752635
Solyc08g014570.2.1 4798240.5
Solyc08g014580.2.1 4803433
Solyc08g014590.1.1 4810203
Solyc08g014600.2.1 4814324
Solyc08g014610.2.1 4838676
Solyc08g015620.2.1 4869233
Solyc08g015630.2.1 4894856
Solyc08g015640.1.1 5189186
Solyc08g015650.2.1 5198755
Solyc08g015660.2.1 5209524
Solyc08g015670.2.1 5218240
Solyc08g015680.1.1 5223650
Solyc08g015690.2.1 5235480
Solyc08g015700.1.1 5259425
Solyc08g015710.1.1 5303412
Solyc08g015720.1.1 5372835
Solyc08g015730.1.1 5475356
Solyc08g015740.1.1 5483120.5
Solyc08g015750.1.1 5527965
Solyc08g015770.2.1 5583131
Solyc08g015780.2.1 5600190
Solyc08g015800.1.1 5653917.5
Solyc08g015810.1.1 5658254
Solyc08g015820.1.1 5794407.5
Solyc08g015830.1.1 5996886
Solyc08g015840.1.1 6005117
Solyc08g015850.1.1 6155077
Solyc08g015860.2.1 6170580.5
Solyc08g015870.2.1 6176411.5
Solyc08g015880.1.1 6211160
Solyc08g015890.1.1 6240656
Solyc08g015900.1.1 6254673.5
Solyc08g015910.1.1 6263605
Solyc08g015920.1.1 6282383.5
Solyc08g015930.1.1 6305434.5
Solyc08g015940.2.1 6383817
Solyc08g015950.1.1 6391140
Solyc08g015960.2.1 6425606
Solyc08g015980.1.1 6471064
Solyc08g015990.2.1 6523100.5
Solyc08g016000.1.1 6548541.5
Solyc08g016010.2.1 6578644.5
Solyc08g016020.2.1 6583381
Solyc08g016050.2.1 6618109
Solyc08g016060.1.1 6629068
Solyc08g016070.1.1 6645328.5
Solyc08g016080.2.1 6693320.5
Solyc08g016090.2.1 6751999.5
Solyc08g016100.1.1 6806934.5
Solyc08g016110.1.1 6851111
Solyc08g016120.1.1 6876408.5
Solyc08g016130.1.1 6940200
Solyc08g016150.1.1 6954779
Solyc08g016160.2.1 6969750.5
Solyc08g016170.2.1 6991834.5
Solyc08g016180.2.1 7001108.5
Solyc08g016190.2.1 7017678
Solyc08g016200.2.1 7029015
Solyc08g016210.2.1 7100018.5
Solyc08g016220.1.1 7102171.5
Solyc08g016230.1.1 7111754.5
Solyc08g016240.1.1 7136474.5
Solyc08g016250.1.1 7136970.5
Solyc08g016260.1.1 7138632.5
Solyc08g016270.1.1 7144154
Solyc08g016280.1.1 7154613.5
Solyc08g016290.1.1 7159345
Solyc08g016300.1.1 7180032.5
Solyc08g016310.2.1 7201552.5
Solyc08g016320.1.1 7228346.5
Solyc08g016330.1.1 7286871.5
Solyc08g016340.1.1 7329583.5
Solyc08g016350.1.1 7357455
Solyc08g016360.1.1 7357958.5
Solyc08g016370.1.1 7359383
Solyc08g016380.1.1 7419359
Solyc08g016390.1.1 7509831.5
Solyc08g016400.1.1 7511927
Solyc08g016410.1.1 7527033.5
Solyc08g016420.2.1 7551563.5
Solyc08g016430.1.1 7558379
Solyc08g016440.2.1 7584049
Solyc08g016450.2.1 7607082.5
Solyc08g016470.1.1 7628237
Solyc08g016480.1.1 7634023
Solyc08g016490.1.1 7636683
Solyc08g016500.2.1 7712852.5
Solyc08g016510.2.1 7719109.5
Solyc08g016520.1.1 7734021
Solyc08g016540.1.1 7773290.5
Solyc08g016550.2.1 7825024.5
Solyc08g016560.1.1 7883869.5
Solyc08g016570.1.1 7980574.5
Solyc08g016580.1.1 7981143
Solyc08g016600.1.1 8001754.5
Solyc08g016610.1.1 8004561
Solyc08g016620.2.1 8083135.5
Solyc08g016630.1.1 8100634
Solyc08g016650.1.1 8347895
Solyc08g016660.1.1 8371148
Solyc08g016670.2.1 8458609
Solyc08g016680.1.1 8495380.5
Solyc08g016700.1.1 8672169.5
Solyc08g016710.1.1 8720874
Solyc08g016720.1.1 8735165.5
Solyc08g016730.1.1 9094922.5
Solyc08g016740.1.1 9115801
Solyc08g016750.2.1 9129647
Solyc08g016760.1.1 9188933.5
Solyc08g016770.2.1 9301828.5
Solyc08g016780.1.1 9314879
Solyc08g016790.1.1 9396013.5
Solyc08g021790.1.1 34980519
Solyc08g021800.1.1 34855611.5
Solyc08g021810.1.1 34637550
Solyc08g021820.2.1 34548730.5
Solyc08g021830.1.1 34460790.5
Solyc08g021840.1.1 34423457
Solyc08g021850.1.1 34411824
Solyc08g021860.1.1 34323864.5
Solyc08g021870.1.1 34309462.5
Solyc08g021880.1.1 34308614
Solyc08g021890.2.1 34291295.5
Solyc08g021900.1.1 34286247
Solyc08g021910.1.1 34264565
Solyc08g021920.2.1 34244746.5
Solyc08g021930.2.1 34146127.5
Solyc08g021940.1.1 34142127
Solyc08g021950.1.1 34136960.5
Solyc08g021960.2.1 34109543
Solyc08g021970.1.1 34065387.5
Solyc08g021980.1.1 34064595.5
Solyc08g021990.1.1 33999345
Solyc08g022000.1.1 33995730.5
Solyc08g022010.1.1 33983770.5
Solyc08g022020.1.1 33896216.5
Solyc08g022030.2.1 33751485.5
Solyc08g022040.1.1 33479037.5
Solyc08g022050.1.1 33445035.5
Solyc08g022060.1.1 33117171
Solyc08g022070.2.1 33076690.5
Solyc08g022080.2.1 32483146.5
Solyc08g022090.1.1 32465279
Solyc08g022100.1.1 32464281
Solyc08g022110.2.1 32462458
Solyc08g022120.2.1 32219979
Solyc08g022130.1.1 32108073
Solyc08g022140.1.1 31837431
Solyc08g022150.1.1 31766761.5
Solyc08g022160.1.1 31766465.5
Solyc08g022170.1.1 31766109.5
Solyc08g022180.1.1 31764559
Solyc08g022190.1.1 30990200
Solyc08g022200.1.1 30793682
Solyc08g022210.2.1 30366811.5
Solyc08g022220.1.1 30052146.5
Solyc08g022240.1.1 29906776
Solyc08g023240.1.1 29888862
Solyc08g023250.1.1 29292234.5
Solyc08g023260.1.1 29269222
Solyc08g023270.2.1 29095217
Solyc08g023280.2.1 29091130.5
Solyc08g023310.1.1 29020476.5
Solyc08g023320.1.1 29019438.5
Solyc08g023330.1.1 28665535
Solyc08g023340.2.1 28548576
Solyc08g023350.1.1 28500794.5
Solyc08g023360.1.1 28463939
Solyc08g023370.1.1 28321318.5
Solyc08g023380.1.1 28267216
Solyc08g023390.1.1 28246508.5
Solyc08g023400.1.1 28026030
Solyc08g023410.1.1 27965291
Solyc08g023420.1.1 27964632
Solyc08g023430.1.1 27909565.5
Solyc08g023440.2.1 27901710
Solyc08g023460.2.1 27708588.5
Solyc08g023470.2.1 27665377.5
Solyc08g023480.1.1 27639549
Solyc08g023490.2.1 27630589.5
Solyc08g023500.2.1 27539466.5
Solyc08g023510.1.1 27509059.5
Solyc08g023520.1.1 27504520
Solyc08g023530.1.1 27493092
Solyc08g023540.1.1 27476053.5
Solyc08g023550.1.1 27445135.5
Solyc08g023560.2.1 27229313.5
Solyc08g023570.1.1 27210051.5
Solyc08g023580.2.1 27202416.5
Solyc08g023590.2.1 27191533.5
Solyc08g023600.1.1 27184060
Solyc08g023630.2.1 26847146
Solyc08g023640.1.1 26758164.5
Solyc08g023650.2.1 26755839
Solyc08g023660.2.1 26737661
Solyc08g028660.1.1 42941656
Solyc08g028670.1.1 42509574
Solyc08g028680.1.1 42423416.5
Solyc08g028690.2.1 42420817
Solyc08g028700.1.1 42009777.5
Solyc08g028730.1.1 41294110
Solyc08g028740.1.1 41166838
Solyc08g028750.1.1 41100160
Solyc08g028760.1.1 41071148.5
Solyc08g028770.1.1 40934850.5
Solyc08g028780.1.1 40027622.5
Solyc08g028790.1.1 40023188.5
Solyc08g028800.1.1 40017218
Solyc08g028810.1.1 39517574
Solyc08g028820.1.1 39508032.5
Solyc08g028830.1.1 39332167
Solyc08g028840.1.1 39309787.5
Solyc08g028850.1.1 39256941
Solyc08g028860.1.1 39153833.5
Solyc08g028870.1.1 39151985
Solyc08g028880.1.1 39151379.5
Solyc08g028890.1.1 39151113.5
Solyc08g028900.1.1 39150363.5
Solyc08g028910.1.1 39149692.5
Solyc08g028920.1.1 39148756
Solyc08g028930.1.1 39148133
Solyc08g028940.1.1 39147442.5
Solyc08g028950.1.1 39145918.5
Solyc08g028970.2.1 39022304
Solyc08g028980.1.1 38979540
Solyc08g028990.1.1 38963421
Solyc08g029000.2.1 38908782.5
Solyc08g029010.1.1 38678376
Solyc08g029020.1.1 38635510.5
Solyc08g029030.1.1 38554656.5
Solyc08g029040.1.1 38512923
Solyc08g029050.2.1 38295734
Solyc08g029060.1.1 38285921.5
Solyc08g029070.1.1 38262098
Solyc08g029080.1.1 38246933.5
Solyc08g029090.2.1 38235305
Solyc08g029110.2.1 38219994
Solyc08g029120.1.1 38153080.5
Solyc08g029130.2.1 38122707
Solyc08g029140.1.1 38070906.5
Solyc08g029150.1.1 38063621
Solyc08g029160.1.1 38024773
Solyc08g029170.2.1 38017874
Solyc08g029180.1.1 37992103.5
Solyc08g029190.2.1 37975820
Solyc08g029200.2.1 37864606.5
Solyc08g029210.1.1 37536175
Solyc08g029220.1.1 37439198.5
Solyc08g029230.2.1 37355803.5
Solyc08g029240.2.1 37332370
Solyc08g029250.1.1 37210452
Solyc08g029260.1.1 37205667
Solyc08g029270.1.1 37166437.5
Solyc08g029280.1.1 37154053
Solyc08g029290.1.1 37153315
Solyc08g029300.1.1 37152448
Solyc08g029310.1.1 37149517
Solyc08g029330.1.1 36703251
Solyc08g029340.1.1 36659815.5
Solyc08g029350.1.1 36645623
Solyc08g029360.2.1 36553266
Solyc08g029380.1.1 36287614.5
Solyc08g029390.1.1 36213012.5
Solyc08g029400.1.1 36179637
Solyc08g029410.1.1 36178753
Solyc08g036410.1.1 11740978.5
Solyc08g036420.1.1 11439213
Solyc08g036430.1.1 11407520.5
Solyc08g036440.1.1 11324065
Solyc08g036450.1.1 11290653.5
Solyc08g036470.1.1 11214603.5
Solyc08g036480.1.1 11211378
Solyc08g036490.1.1 11209431
Solyc08g036500.1.1 11143928.5
Solyc08g036510.1.1 11143256.5
Solyc08g036520.2.1 11140232
Solyc08g036530.1.1 11134445.5
Solyc08g036540.1.1 11134008.5
Solyc08g036550.1.1 11129489
Solyc08g036560.2.1 11019849
Solyc08g036570.1.1 10973324
Solyc08g036580.1.1 10933941.5
Solyc08g036590.1.1 10905306.5
Solyc08g036600.1.1 10889866
Solyc08g036610.1.1 10852083
Solyc08g036620.2.1 10646201.5
Solyc08g036630.1.1 10633824
Solyc08g036640.2.1 10529423
Solyc08g036650.1.1 10478827
Solyc08g036660.2.1 10476871
Solyc08g041660.1.1 26409730
Solyc08g041670.1.1 26402437
Solyc08g041680.1.1 26267987
Solyc08g041690.1.1 26179007
Solyc08g041700.1.1 26178081
Solyc08g041710.2.1 26141935.5
Solyc08g041720.1.1 26133824
Solyc08g041730.1.1 26130501.5
Solyc08g041740.1.1 25945846.5
Solyc08g041750.1.1 25937344
Solyc08g041760.1.1 25934203
Solyc08g041770.2.1 25916045.5
Solyc08g041780.2.1 25831005
Solyc08g041790.1.1 25811291.5
Solyc08g041800.2.1 25766788
Solyc08g041810.1.1 25758090
Solyc08g041820.2.1 25694692.5
Solyc08g041830.1.1 25600039.5
Solyc08g041850.2.1 25563217
Solyc08g041860.1.1 25488796
Solyc08g041870.2.1 25453414
Solyc08g041880.1.1 25344200
Solyc08g041890.2.1 25272118
Solyc08g041920.1.1 25125530.5
Solyc08g041930.1.1 25116925.5
Solyc08g041940.1.1 24797048
Solyc08g041950.1.1 24668024
Solyc08g041960.1.1 24636603
Solyc08g041970.1.1 24520530
Solyc08g041980.2.1 24454507.5
Solyc08g041990.1.1 24364686
Solyc08g042000.2.1 24349140.5
Solyc08g042010.2.1 24289526
Solyc08g042020.1.1 24160591
Solyc08g042030.1.1 24131061
Solyc08g042040.2.1 24114790.5
Solyc08g042050.2.1 24021270
Solyc08g042060.1.1 23977976
Solyc08g042070.1.1 23948090
Solyc08g042080.2.1 23924478
Solyc08g042090.1.1 23906916.5
Solyc08g042100.2.1 23865406.5
Solyc08g042110.1.1 23801450.5
Solyc08g042120.1.1 23799121
Solyc08g042130.2.1 23787605
Solyc08g042140.2.1 23486815
Solyc08g043140.2.1 23076847.5
Solyc08g043150.1.1 22988679
Solyc08g043160.1.1 22906847
Solyc08g043170.2.1 22893015
